name,cuisines,aggregate_rating,rating_text,votes,currency,average_cost_for_two,price_range,locality,city,latitude,longitude,has_online_delivery,is_delivering_now,has_table_booking
Caldo & Freddo,Desserts,0,Not rated,0,R,80,1,Sea Point,Cape Town,-33.9194440000,18.3827010000,0,0,0
Doughnut Hive,"Bakery, Desserts",0,Not rated,0,R,50,1,"Grandwest Casino, Goodwood",Cape Town,-33.9168416814,18.5475799441,0,0,0
DV Café,"Desserts, Cafe, Ice Cream",0,Not rated,0,R,50,1,"Spice Route Farm, Paarl",Cape Town,0.0000000000,0.0000000000,0,0,0
Yogi Bar,Desserts,0,Not rated,0,R,120,2,"Sandown Retail Crossing Center, Parklands",Cape Town,-33.8016311145,18.4949744493,0,0,0
Marcel's Frozen Yoghurt,Desserts,0,Not rated,0,R,100,2,"Zevenwacht Mall, Kuilsriver",Cape Town,-33.9483400000,18.6970300000,0,0,0
Gelato,Ice Cream,0,Not rated,0,R,80,1,Simon's Town,Cape Town,-34.1947520000,18.4475110000,0,0,0
Lili's Ice Cream Parlor,"Desserts, Ice Cream",0,Not rated,0,R,60,1,Plumstead,Cape Town,-34.0210800491,18.4677905962,0,0,0
Marcel's Frozen Yoghurt,Desserts,0,Not rated,0,R,100,2,"Mountain Mill Centre, Worcester",Cape Town,-33.6318070000,19.4343530000,0,0,0
Ice Rock Cafe,Desserts,0,Not rated,0,R,90,1,Fish Hoek,Cape Town,-34.1405488463,18.4298624843,0,0,0
IceDream,"Desserts, Ice Cream",0,Not rated,0,R,60,1,"Bay Habour Market, Hout Bay",Cape Town,-34.0550900000,18.3471680000,0,0,0
Bollywood Cafe,"Fast Food, Indian",2.0,Poor,37,R,160,2,CBD,Cape Town,-33.9252120476,18.4162278101,0,0,0
Kauai,"Cafe, Healthy Food",2.1,Poor,29,R,220,3,"Cavendish Square, Claremont",Cape Town,-33.9802680000,18.4636730000,0,0,0
KFC,Fast Food,2.1,Poor,15,R,150,2,"Victoria Wharf, V & A Waterfront",Cape Town,-33.9043333333,18.4200000000,0,0,0
Steers,Fast Food,2.2,Poor,22,R,135,2,Rondebosch,Cape Town,-33.9600850000,18.4700260000,0,0,0
KFC,Fast Food,2.2,Poor,24,R,150,2,Observatory,Cape Town,-33.9423333333,18.4685000000,0,0,0
Debonairs Pizza,Pizza,2.2,Poor,20,R,150,2,Rondebosch,Cape Town,-33.9600000000,18.4701666667,0,0,0
Food Inn India,"Indian, Chinese, Lebanese",2.3,Poor,92,R,180,2,CBD,Cape Town,-33.9244928950,18.4168349952,0,0,0
Food Inn India,"Indian, Chinese, Lebanese",2.3,Poor,84,R,180,2,"Riverside Mall, Rondebosch",Cape Town,-33.9618600000,18.4701420000,0,0,0
McDonalds,Fast Food,2.3,Poor,19,R,100,2,Observatory,Cape Town,-33.9421666667,18.4683333333,0,0,0
KFC,Fast Food,2.3,Poor,16,R,150,2,Durbanville,Cape Town,-33.8301609729,18.6494012922,0,0,0
KFC,Fast Food,2.3,Poor,9,R,150,2,Sea Point,Cape Town,-33.9100000000,18.3946666667,0,0,0
Burger King,"Burger, Fast Food",2.4,Poor,35,R,140,2,"Cavendish Square, Claremont",Cape Town,-33.9799710000,18.4630850000,0,0,0
Domino's Pizza,Pizza,2.4,Poor,28,R,180,2,"Flamingo Square Centre, Table View",Cape Town,-33.8298110000,18.5069310000,0,0,0
Vida E Caffe,"Cafe, Desserts",2.4,Poor,20,R,150,2,"Cavendish Square, Claremont",Cape Town,-33.9799710000,18.4630850000,0,0,0
McDonalds,Fast Food,2.4,Poor,17,R,100,2,"Victoria Wharf, V & A Waterfront",Cape Town,-33.9035220000,18.4204590000,0,0,0
Bella Pizza,"Fast Food, Pizza",2.4,Poor,13,R,220,3,Bergvliet,Cape Town,-34.0519100000,18.4615670000,0,0,0
McDonalds,Fast Food,2.4,Poor,18,R,100,2,Milnerton,Cape Town,-33.8795000000,18.4986666667,0,0,0
Snoekies,"Fast Food, Seafood",2.4,Poor,14,R,140,2,Sea Point,Cape Town,-33.9131666667,18.3918333333,0,0,0
McDonalds,Fast Food,2.4,Poor,16,R,100,2,Durbanville,Cape Town,-33.8280306154,18.6521475390,0,0,0
Domino's Pizza,Pizza,2.4,Poor,13,R,180,2,Tokai,Cape Town,-34.0663333333,18.4588333333,0,0,0
Steers,Fast Food,2.4,Poor,13,R,135,2,"Canal Walk Mall, Century City",Cape Town,-33.8926666667,18.5105000000,0,0,0
McDonalds,Fast Food,2.4,Poor,8,R,100,2,Tokai,Cape Town,-34.0658333333,18.4588333333,0,0,0
Barcelos,"Fast Food, Portuguese",2.5,Average,8,R,140,2,CBD,Cape Town,-33.9258886297,18.4154925495,0,0,0
Kauai,"Healthy Food, Fast Food",2.5,Average,23,R,200,3,V & A Waterfront,Cape Town,-33.9057460000,18.4199860000,0,0,0
McDonalds,Fast Food,2.5,Average,13,R,100,2,Kenilworth,Cape Town,-34.0018238736,18.4789391980,0,0,0
Lucky Fish & Chips,"Fast Food, Seafood",2.5,Average,38,R,150,2,Sea Point,Cape Town,-33.9210550000,18.3833830000,0,0,0
Crave,"Healthy Food, Fast Food",2.5,Average,20,R,160,2,Century City,Cape Town,-33.8851510000,18.5214470000,0,0,0
McDonalds,Fast Food,2.5,Average,12,R,100,2,Rondebosch,Cape Town,-33.9598333333,18.4705000000,0,0,0
Domino's Pizza,Pizza,2.5,Average,19,R,180,2,Goodwood,Cape Town,-33.8921060000,18.5569990000,0,0,0
Burger King,"Burger, Fast Food",2.5,Average,19,R,140,2,"Tygervalley Shopping Centre, Bellvile",Cape Town,-33.8785346691,18.6571552232,0,0,0
McDonalds,Fast Food,2.5,Average,11,R,100,2,"Vangate Mall, Athlone",Cape Town,-33.9611100000,18.5395780000,0,0,0
Anat,"Lebanese, Fast Food",2.5,Average,13,R,120,2,"Victoria Wharf, V & A Waterfront",Cape Town,-33.9043333333,18.4200000000,0,0,0
Kauai,"Healthy Food, Fast Food",2.5,Average,9,R,200,3,"Portside Building, De Waterkant",Cape Town,-33.9167273295,18.4224937856,0,0,0
Calamari Fisheries,Fish and Chips,2.5,Average,14,R,100,2,"Westcoast Village, Sunningdale",Cape Town,-33.8044093079,18.4854522720,0,0,0
Anat,"Lebanese, Fast Food",2.5,Average,16,R,120,2,"Tygervalley Shopping Centre, Bellvile",Cape Town,-33.8730865636,18.6348214746,0,0,0
KFC,Fast Food,2.5,Average,16,R,150,2,"Plattekloof Village, Plattekloof",Cape Town,-33.8656666667,18.5718333333,0,0,0
McDonalds,Fast Food,2.5,Average,13,R,100,2,Plumstead,Cape Town,-34.0209560000,18.4660250000,0,0,0
Kauai,"Healthy Food, Fast Food",2.5,Average,13,R,200,3,"Somerset Mall, Somerset West",Cape Town,-34.0819970000,18.8218270000,0,0,0
Domino's Pizza,Pizza,2.5,Average,14,R,180,2,Gardens,Cape Town,-33.9322480000,18.4086990000,0,0,0
McDonalds,Fast Food,2.5,Average,7,R,100,2,"Tyger Manor, Bellville",Cape Town,-33.8761087852,18.6366038024,0,0,0
Southern Fried Chicken,"Burger, Fast Food, Grill",2.5,Average,9,R,140,2,CBD,Cape Town,-33.9198562320,18.4218899533,0,0,0
McDonalds,Fast Food,2.5,Average,11,R,100,2,CBD,Cape Town,-33.9226433791,18.4229145572,0,0,0
McDonalds,Fast Food,2.5,Average,13,R,100,2,"Sandown Retail Crossing Center, Parklands",Cape Town,-33.8004233579,18.5015059635,0,0,0
Tao Yuan,Chinese,2.5,Average,7,R,300,4,Sea Point,Cape Town,-33.9183333333,18.3856666667,0,0,0
McDonalds,Fast Food,2.5,Average,8,R,100,2,Table View,Cape Town,-33.8241939443,18.4896975383,0,0,0
KFC,Fast Food,2.5,Average,9,R,150,2,"Canal Walk Mall, Century City",Cape Town,-33.8926666667,18.5105000000,0,0,0
Fisherman's Lane,Fast Food,2.5,Average,6,R,75,1,Kenilworth,Cape Town,-34.0016512661,18.4789526090,0,0,0
McDonalds,Fast Food,2.5,Average,9,R,100,2,"Tygervalley Shopping Centre, Bellvile",Cape Town,-33.8881988281,18.6339091882,0,0,0
Yusra's Kitchen,Fast Food,2.5,Average,4,R,120,2,Sea Point,Cape Town,-33.9086666667,18.3965000000,0,0,0
The Galley,Seafood,2.6,Average,25,R,200,3,"Bayside on Fish Hoek Beach, Fish Hoek",Cape Town,-34.1410980000,18.4319360000,0,0,0
Pizza Hut,Pizza,2.6,Average,16,R,180,2,Durbanville,Cape Town,-33.8301999644,18.6491069198,0,0,0
Burger King,"Burger, Fast Food",2.6,Average,13,R,140,2,Kenilworth,Cape Town,-33.9883155153,18.4843465313,0,0,0
McDonalds,Fast Food,2.6,Average,12,R,100,2,Sea Point,Cape Town,-33.9158160000,18.3897210000,0,0,0
