name,aggregate_rating,rating_text,votes,average_cost_for_two,price_range,cuisines,cuisine_count,places,locality,region,city,latitude,longitude,cuisine_African,cuisine_American,cuisine_Asian,cuisine_BBQ,cuisine_Bakery,cuisine_Bar Food,cuisine_Belgian,cuisine_Beverages,cuisine_Brazilian,cuisine_British,cuisine_Burger,cuisine_Cafe,cuisine_Cafe Food,cuisine_Cape Malay,cuisine_Caribbean,cuisine_Chinese,cuisine_Coffee and Tea,cuisine_Contemporary,cuisine_Continental,cuisine_Cuban,cuisine_Deli,cuisine_Desserts,cuisine_Drinks Only,cuisine_Durban,cuisine_Ethiopian,cuisine_European,cuisine_Fast Food,cuisine_Finger Food,cuisine_Fish and Chips,cuisine_French,cuisine_Frozen Yogurt,cuisine_Fusion,cuisine_German,cuisine_Greek,cuisine_Grill,cuisine_Healthy Food,cuisine_Ice Cream,cuisine_Indian,cuisine_International,cuisine_Irish,cuisine_Italian,cuisine_Japanese,cuisine_Juices,cuisine_Korean,cuisine_Latin American,cuisine_Lebanese,cuisine_Malaysian,cuisine_Mediterranean,cuisine_Mexican,cuisine_Middle Eastern,cuisine_Modern European,cuisine_Moroccan,cuisine_Pakistani,cuisine_Patisserie,cuisine_Pizza,cuisine_Portuguese,cuisine_Pub Food,cuisine_Salad,cuisine_Sandwich,cuisine_Seafood,cuisine_South African,cuisine_Spanish,cuisine_Steak,cuisine_Street Food,cuisine_Sushi,cuisine_Tapas,cuisine_Tea,cuisine_Tex-Mex,cuisine_Thai,cuisine_Turkish,cuisine_Vegetarian,cuisine_Vietnamese
Villa 47,4.3,Very Good,152,300,4,International,1,None,CBD,City Bowl,Cape Town,-33.9192216132,18.4203128144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Shortmarket Club,4.3,Very Good,75,584,4,French,1,None,CBD,City Bowl,Cape Town,-33.921381411999995,18.4187437221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kitima Restaurant,4.3,Very Good,144,520,4,"Japanese, Asian, Thai",3,None,Hout Bay,Atlantic Seaboard,Cape Town,-34.032212,18.356502,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
South China Dim Sum Bar,4.3,Very Good,176,300,4,"Asian, Chinese, Vietnamese",3,None,CBD,City Bowl,Cape Town,-33.926515409299995,18.4144062549,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Thali,4.3,Very Good,60,400,4,"Indian, Tapas",2,None,Gardens,City Bowl,Cape Town,-33.929101,18.410869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Royale Eatery,4.3,Very Good,560,350,4,"Burger, Pizza",2,None,CBD,City Bowl,Cape Town,-33.92636101,18.4146885574,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerry's Burger Bar,4.3,Very Good,342,250,3,"Burger, American",2,None,Gardens,City Bowl,Cape Town,-33.929022,18.410769,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kleinskys Delicatessen,4.3,Very Good,165,215,3,"Bakery, American",2,None,Sea Point,Atlantic Seaboard,Cape Town,-33.922261,18.38144,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Truth Coffee,4.3,Very Good,612,300,4,Cafe,1,None,CBD,City Bowl,Cape Town,-33.9284964252,18.4228602424,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Gin Bar,4.3,Very Good,63,250,3,Drinks Only,1,None,CBD,City Bowl,Cape Town,-33.922613,18.417114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
